table cem_ref_e5(t,r)


	USA	CAN	MEX	JPN	ANZ	EUR	ROE	RUS	ASI	kor	idz	CHN	IND	BRA	AFR	MES	LAM	REA
												
2020	0.6757	0.7489	0.4208	0.8061	0.6272	0.5983	0.4759	0.6613	0.5567	0.2522	0.3289	0.4481	0.4444	0.5684	0.4199	0.3972	0.6116	0.4168
2025	0.5210	0.5465	0.2843	0.6347	0.4683	0.4677	0.3254	0.5329	0.4079	0.1717	0.2254	0.3078	0.2926	0.4007	0.2910	0.2748	0.4434	0.2987
2030	0.3962	0.4014	0.1990	0.4941	0.3458	0.3584	0.2267	0.4217	0.2986	0.1209	0.1598	0.2131	0.1903	0.2874	0.2047	0.1921	0.3247	0.2143
2035	0.3238	0.3214	0.1552	0.4141	0.2779	0.2939	0.1712	0.3631	0.2356	0.0914	0.1218	0.1599	0.1341	0.2234	0.1560	0.1449	0.2558	0.1669
2040	0.2749	0.2586	0.1243	0.3560	0.2276	0.2529	0.1328	0.3196	0.1920	0.0726	0.0977	0.1205	0.0938	0.1743	0.1219	0.1127	0.2068	0.1350
2045	0.2332	0.2074	0.0995	0.3063	0.1863	0.2180	0.1033	0.2831	0.1574	0.0576	0.0782	0.0900	0.0657	0.1354	0.0952	0.0878	0.1688	0.1094
2050	0.1967	0.1634	0.0817	0.2640	0.1520	0.1873	0.0825	0.2498	0.1341	0.0455	0.0623	0.0684	0.0458	0.1084	0.0761	0.0702	0.1424	0.0917
2055	0.1652	0.1264	0.0663	0.2330	0.1228	0.1602	0.0653	0.2166	0.1131	0.0374	0.0518	0.0515	0.0335	0.0834	0.0600	0.0555	0.1187	0.0766
2060	0.1422	0.1000	0.0548	0.2035	0.0985	0.1365	0.0527	0.1931	0.0959	0.0307	0.0427	0.0396	0.0256	0.0657	0.0483	0.0448	0.1020	0.0642
2065	0.1196	0.0781	0.0441	0.1738	0.0774	0.1135	0.0416	0.1681	0.0793	0.0246	0.0344	0.0298	0.0202	0.0504	0.0379	0.0353	0.0851	0.0526
2070	0.0992	0.0609	0.0370	0.1469	0.0600	0.0941	0.0342	0.1396	0.0668	0.0205	0.0288	0.0234	0.0166	0.0410	0.0310	0.0290	0.0737	0.0440
2075	0.0797	0.0466	0.0299	0.1206	0.0453	0.0756	0.0273	0.1128	0.0549	0.0166	0.0234	0.0178	0.0132	0.0323	0.0245	0.0231	0.0607	0.0357
2080	0.0626	0.0352	0.0237	0.0974	0.0353	0.0597	0.0213	0.0892	0.0442	0.0131	0.0186	0.0133	0.0102	0.0249	0.0189	0.0179	0.0486	0.0283
2085	0.0466	0.0254	0.0178	0.0748	0.0261	0.0447	0.0158	0.0670	0.0339	0.0099	0.0140	0.0095	0.0075	0.0182	0.0138	0.0132	0.0368	0.0212
2090	0.0340	0.0179	0.0129	0.0546	0.0187	0.0331	0.0114	0.0491	0.0252	0.0072	0.0100	0.0066	0.0052	0.0130	0.0098	0.0094	0.0270	0.0155
